usrid,separation,probability,ra,dec,name,bb_kt,powlaw_gamma,var_prob_b,var_mean_b,var_sigma_b,var_max_b,var_min_b,hard_hm,hard_hs,hard_ms,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s
GS 0834-430,0.04,0.81, 08 35 55.46,-43 11 08.18, 2CXO J083555.4-431108,,,0.383,0.003814,0.000348,0.004531,0.003441,0.1886,0.9994,0.732,1.022e-13,2.875e-14,1.725e-13,1.702e-14,5.283e-15,2.876e-14,,,,1.004e-13,2.591e-14,1.716e-13,1.807e-14,4.986e-15,3.054e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS 0834-430,0.04,0.81, 08 35 55.46,-43 11 08.18, 2CXO J083555.4-431108,,,0.982,0.003353,0.002252,0.005606,0.001101,0.8282,0.9994,0.9994,8.34e-14,5.957e-14,1.06e-13,3.238e-15,1.116e-15,5.359e-15,0.0,0.0,1.414e-15,8.46e-14,6.043e-14,1.076e-13,1.82e-15,9.102e-17,3.459e-15,0.0,0.0,1.599e-15,,,,,,,,,6.0,0.951,0.985,0.982,0.001821,0.002959,0.001138,0.00478,,,,,,,,
GS 0834-430,0.04,0.81, 08 35 55.46,-43 11 08.18, 2CXO J083555.4-431108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS 0834-430,0.04,0.81, 08 35 55.46,-43 11 08.18, 2CXO J083555.4-431108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS 0834-430,0.04,0.81, 08 35 55.46,-43 11 08.18, 2CXO J083555.4-431108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS 1843+009,0.05,0.77, 18 45 36.83,+00 51 47.37, 2CXO J184536.8+005147,,,0.393,0.001381,0.0001186,0.001798,0.001301,0.9994,0.9994,-0.9994,3.266e-14,1.832e-14,4.62e-14,,,,,,,3.528e-14,2.016e-14,4.956e-14,,,,,,,,,,,,,,,0.0,0.393,0.684,0.533,0.0001186,0.001381,0.001301,0.001798,,,,,,,,
GX 301-2,0.02,0.88, 12 26 37.55,-62 46 13.18, 2CXO J122637.5-624613,346.9,-3.826,0.044,0.2545,7.251e-05,0.2545,0.2544,0.9806,0.9969,0.7458,1.266e-11,1.211e-11,1.318e-11,2.008e-14,1.326e-14,2.652e-14,1.507e-15,1.436e-16,2.871e-15,1.187e-11,1.135e-11,1.238e-11,1.039e-14,5.195e-15,1.531e-14,1.604e-15,6.415e-17,3.079e-15,0.0,0.193,0.031,0.002,0.0001637,0.00363,0.003468,0.004006,0.0,0.044,0.448,0.756,7.306e-05,0.2505,0.2504,0.2506,,,,,,,,
H 1417-624,0.03,0.83, 14 21 12.15,-62 41 56.12, 2CXO J142112.1-624156,,,0.997,0.0132,0.007804,0.0524,0.007616,0.6446,0.9994,0.9994,2.891e-13,2.423e-13,3.332e-13,1.747e-14,1.266e-14,2.228e-14,0.0,0.0,2.095e-15,2.957e-13,2.479e-13,3.408e-13,1.672e-14,1.18e-14,2.164e-14,1.458e-15,8.578e-17,2.831e-15,0.0,0.347,0.29,0.254,0.0003228,0.003156,0.002916,0.004551,7.0,0.996,1.0,0.996,0.005498,0.009831,0.005791,0.03448,,,,,,,,
HD 119682,0.03,0.78, 13 46 32.55,-62 55 24.19, 2CXO J134632.5-625523,0.7731,1.55,0.022,0.1007,3.788e-05,0.1007,0.1006,0.2711,0.2299,-0.0437,6.893e-13,6.566e-13,7.198e-13,1.355e-13,1.283e-13,1.426e-13,9.492e-14,8.974e-14,1.001e-13,6.877e-13,6.544e-13,7.188e-13,1.355e-13,1.281e-13,1.429e-13,9.252e-14,8.72e-14,9.784e-14,0.0,0.062,0.02,0.046,4.986e-05,0.03298,0.03293,0.03302,0.0,0.033,0.59,0.77,5.617e-05,0.03884,0.03877,0.03891,0.0,0.1,0.584,0.886,0.000152,0.02884,0.02868,0.02899
HD 259440,0.05,0.65, 06 32 59.26,+05 48 01.16, 2CXO J063259.2+054801,0.9297,1.399,0.627,0.02686,0.002083,0.02895,0.02478,0.2736,0.1974,-0.0837,1.642e-13,1.528e-13,1.757e-13,3.213e-14,2.921e-14,3.505e-14,2.894e-14,2.386e-14,3.372e-14,1.667e-13,1.549e-13,1.785e-13,3.111e-14,2.821e-14,3.402e-14,2.631e-14,2.105e-14,3.125e-14,0.0,0.113,0.369,0.289,5.451e-05,0.009043,0.008988,0.009097,0.0,0.337,0.938,0.958,0.0006251,0.01521,0.01459,0.01584,2.0,0.779,0.909,0.892,0.0007259,0.002614,0.001888,0.00334
HD 259440,0.05,0.65, 06 32 59.26,+05 48 01.16, 2CXO J063259.2+054801,0.9383,1.641,0.089,0.02301,9.546e-05,0.0231,0.02291,0.2861,0.2236,-0.07,1.286e-13,1.199e-13,1.368e-13,2.701e-14,2.47e-14,2.917e-14,2.252e-14,1.903e-14,2.601e-14,1.288e-13,1.2e-13,1.371e-13,2.673e-14,2.436e-14,2.895e-14,1.177e-14,9.765e-15,1.378e-14,0.0,0.1,0.588,0.466,6.602e-05,0.007706,0.007624,0.007767,0.0,0.087,0.679,0.913,4.771e-05,0.01312,0.01307,0.01317,0.0,0.111,0.487,0.416,1.414e-05,0.002185,0.00217,0.002201
